,price,locali,superficie,bagni,piano
0,225000,2,50.0,1,1.0
1,375000,3,120.0,1,3.0
2,68000,2,20.0,1,0.0
3,450000,5,150.0,2,3.0
4,315000,3,92.0,2,5.0
5,1599000,5,270.0,3,0.5
6,579000,5,160.0,2,2.0
7,385000,3,100.0,3,2.0
8,339000,3,90.0,1,4.0
9,215000,3,67.0,1,1.0
10,670000,5,227.0,3,3.0
11,3200000,5,212.0,2,2.0
12,499000,5,159.0,1,4.0
13,279000,3,110.0,1,0.0
14,289000,2,65.0,1,5.0
15,1800000,5,250.0,3,3.0
16,169000,2,58.0,1,0.0
17,1350000,4,137.0,2,4.0
18,225000,2,50.0,1,1.0
19,375000,3,120.0,1,3.0
20,68000,2,20.0,1,0.0
21,450000,5,150.0,2,3.0
22,315000,3,92.0,2,5.0
23,1599000,5,270.0,3,0.5
24,579000,5,160.0,2,2.0
25,385000,3,100.0,3,2.0
26,339000,3,90.0,1,4.0
27,215000,3,67.0,1,1.0
28,670000,5,227.0,3,3.0
29,3200000,5,212.0,2,2.0
30,499000,5,159.0,1,4.0
31,279000,3,110.0,1,0.0
32,289000,2,65.0,1,5.0
33,1800000,5,250.0,3,3.0
34,169000,2,58.0,1,0.0
35,1350000,4,137.0,2,4.0
36,539000,4,140.0,2,3.0
37,745000,5,230.0,3,4.0
38,655000,4,93.0,1,4.0
39,115000,2,58.0,1,3.0
40,375000,3,92.0,1,1.0
41,670000,5,180.0,2,1.0
42,395000,5,130.0,2,1.0
43,519000,4,150.0,3,3.0
44,229000,2,70.0,1,5.0
45,1170000,5,300.0,3,1.0
46,695000,4,100.0,2,2.0
47,690000,4,127.0,2,1.0
48,1560000,5,191.0,3,1.0
49,359000,4,130.0,3,3.0
50,215000,2,52.0,1,2.0
51,1250000,5,185.0,3,0.0
52,325000,3,100.0,2,5.0
53,1300000,5,170.0,3,2.0
54,1220000,5,245.0,2,0.0
55,239000,3,87.0,1,-1.0
56,695000,5,250.0,3,3.0
57,1050000,5,145.0,2,1.0
58,650000,5,193.0,3,4.0
59,119000,3,85.0,1,2.0
60,390000,3,93.0,1,2.0
61,460000,4,110.0,2,1.0
62,680000,2,70.0,1,4.0
63,1150000,5,160.0,2,4.0
64,135000,2,60.0,1,5.0
65,275000,3,72.0,1,2.0
66,1100000,5,154.0,1,3.0
67,680000,3,90.0,1,3.0
68,1100000,5,250.0,3,1.0
69,595000,5,135.0,3,1.0
70,800000,3,125.0,2,5.0
71,2500000,5,300.0,3,2.0
72,1650000,5,340.0,3,4.0
73,159000,2,65.0,1,0.5
74,349000,3,100.0,1,2.0
75,249000,2,75.0,1,1.0
76,320000,3,76.0,1,3.0
77,235000,2,56.0,1,4.0
78,1070000,5,230.0,3,1.0
79,850000,5,204.0,2,3.0
80,800000,5,220.0,3,4.0
81,410000,5,141.0,2,1.0
82,1700000,5,460.0,3,0.0
83,440000,3,130.0,2,0.0
84,169000,2,80.0,1,0.0
85,1650000,5,220.0,3,4.0
86,1300000,4,115.0,2,9.0
87,549000,3,109.0,2,1.0
88,730000,3,160.0,2,-1.0
89,850000,5,183.0,2,2.0
90,499000,5,123.0,2,3.0
91,419000,3,100.0,2,2.0
92,279000,3,120.0,1,5.0
93,119000,2,55.0,1,0.0
94,549000,5,85.0,2,2.0
95,650000,5,170.0,3,1.0
96,1570000,5,260.0,3,0.5
97,650000,4,130.0,2,1.0
98,450000,4,166.0,2,4.0
99,1100000,5,225.0,3,3.0
100,139000,2,60.0,1,0.0
101,1350000,4,200.0,2,2.0
102,269000,3,87.0,2,3.0
103,895000,5,200.0,3,3.0
104,690000,5,140.0,2,2.0
105,260000,3,78.0,2,1.0
106,1050000,5,290.0,2,0.5
107,2150000,4,150.0,1,4.0
108,3700000,5,250.0,3,5.0
109,370000,4,139.0,2,5.0
110,620000,2,65.0,1,3.0
111,1499000,5,250.0,3,1.0
112,1250000,5,140.0,2,2.0
113,255000,4,130.0,2,1.0
114,189000,4,168.0,3,0.0
115,1600000,5,340.0,3,2.0
116,125000,3,50.0,1,0.0
117,520000,3,105.0,2,1.0
118,1090000,5,190.0,2,2.0
119,849000,4,127.0,1,2.0
120,1050000,5,235.0,3,3.0
121,950000,5,170.0,1,3.0
122,720000,5,145.0,1,1.0
123,795000,5,115.0,1,2.0
124,449000,4,120.0,2,4.0
125,1680000,5,210.0,2,5.0
126,930000,5,150.0,2,3.0
127,279000,3,100.0,2,1.0
128,339000,2,70.0,1,3.0
129,739000,5,150.0,2,0.0
130,238000,2,40.0,1,7.0
131,1080000,5,250.0,3,3.0
132,119000,2,65.0,1,1.0
133,199000,4,125.0,2,1.0
134,269000,3,87.0,2,2.0
135,480000,2,60.0,1,0.5
136,359000,5,122.0,2,1.0
137,430000,2,68.0,1,3.0
138,285000,3,80.0,1,2.0
139,450000,3,90.0,2,1.0
140,450000,4,120.0,1,3.0
141,380000,2,60.0,1,0.0
142,350000,4,130.0,2,2.0
143,149000,3,75.0,1,1.0
144,1450000,5,321.0,3,1.0
145,230000,3,105.0,2,2.0
146,1140000,5,260.0,3,1.0
147,820000,5,209.0,2,4.0
148,328000,3,98.0,2,0.0
149,159000,3,55.0,1,0.0
150,660000,5,148.0,2,0.5
151,369000,3,83.0,1,3.0
152,4200000,5,400.0,3,3.0
153,530000,4,96.0,1,4.0
154,1790000,5,250.0,3,3.0
155,239000,3,110.0,2,2.0
156,79000,2,58.0,1,1.0
157,574000,4,89.0,2,5.0
158,300000,2,46.0,1,4.0
159,669000,5,86.0,2,4.0
160,425000,3,72.0,2,4.0
161,500000,3,89.0,2,3.0
162,400000,3,60.0,1,3.0
163,269000,4,128.0,2,3.0
164,539000,5,180.0,2,1.0
165,630000,3,124.0,2,0.5
166,240000,2,70.0,1,5.0
167,790000,5,168.0,3,4.0
168,980000,4,243.0,3,2.0
169,680000,1,125.0,1,0.0
170,560000,2,60.0,2,4.0
171,490000,2,82.0,1,4.0
172,730000,5,150.0,2,4.0
173,1990000,5,370.0,3,3.0
174,1145000,5,210.0,3,6.0
175,490000,5,140.0,2,1.0
176,890000,5,150.0,2,1.0
177,139000,4,100.0,3,3.0
178,775000,5,160.0,3,4.0
179,1500000,5,220.0,2,5.0
180,900000,5,175.0,3,3.0
181,630000,5,147.0,2,0.5
182,780000,5,165.0,3,3.0
183,1065000,4,280.0,3,4.0
184,230000,2,75.0,1,8.0
185,690000,5,150.0,2,0.5
186,450000,5,180.0,2,0.0
187,1500000,5,314.0,3,6.0
188,139000,4,100.0,3,3.0
189,830000,5,168.0,2,4.0
190,520000,2,79.0,1,3.0
191,449000,2,93.0,1,3.0
192,320000,5,135.0,1,0.0
193,750000,4,163.0,2,2.0
194,139000,4,120.0,3,0.0
195,148000,2,49.0,1,7.0
196,440000,5,160.0,2,2.0
197,239000,2,52.0,1,1.0
198,790000,4,92.0,2,2.0
199,620000,4,130.0,2,1.0
200,515000,4,150.0,2,1.0
201,860000,5,250.0,2,4.0
202,300000,3,98.0,1,0.0
203,155000,3,80.0,1,1.0
204,175000,3,122.0,2,1.0
205,125000,2,70.0,1,3.0
206,1380000,5,220.0,3,5.0
207,790000,5,160.0,1,1.0
208,1290000,4,120.0,3,4.0
209,190000,3,85.0,1,5.0
210,820000,5,260.0,3,3.0
211,325000,3,110.0,2,2.0
212,710000,5,170.0,1,1.0
213,2100000,5,270.0,3,2.0
214,470000,5,110.0,2,4.0
215,1650000,5,165.0,3,3.0
216,449000,3,126.0,1,6.0
217,339000,4,120.0,2,1.0
218,320000,3,110.0,2,1.0
219,3950000,5,362.0,3,3.0
220,2950000,5,540.0,3,0.5
221,415000,3,75.0,1,2.0
222,384000,4,125.0,2,1.0
223,295000,5,140.0,2,3.0
224,450000,5,140.0,2,2.0
225,855000,5,182.0,3,1.0
226,525000,3,131.0,2,5.0
227,590000,4,166.0,2,0.5
228,350000,2,85.0,1,3.0
229,495000,5,130.0,2,3.0
230,560000,5,250.0,3,0.0
231,179000,2,67.0,1,1.0
232,365000,3,95.0,2,1.0
233,439000,3,72.0,1,4.0
234,185000,2,73.0,1,1.0
235,245000,3,87.0,2,0.0
236,610000,5,156.0,2,1.0
237,849000,5,208.0,3,3.0
238,720000,3,115.0,2,4.0
239,395000,5,200.0,2,2.0
240,420000,4,109.0,2,1.0
241,549000,3,115.0,1,2.0
242,390000,5,133.0,2,1.0
243,795000,5,218.0,3,4.0
244,890000,5,195.0,3,3.0
245,880000,3,119.0,2,1.0
246,740000,5,217.0,3,2.0
247,495000,4,173.0,3,4.0
248,1080000,5,160.0,3,1.0
249,1190000,5,179.0,2,1.0
250,235000,3,85.0,1,0.0
251,195000,2,31.0,1,0.0
252,219000,2,60.0,1,3.0
253,209000,2,90.0,1,0.5
254,245000,3,85.0,1,1.0
255,215000,2,55.0,1,5.0
256,199000,3,80.0,1,2.0
257,425000,3,110.0,1,-1.0
258,269000,3,80.0,1,2.0
259,657000,5,87.0,2,5.0
260,98000,1,35.0,1,0.0
261,115000,1,40.0,1,2.0
262,109000,2,63.0,1,2.0
